analyte,setup_id,method,n_components,requested_n_components,score_trend_degree,score_trend_degree_effective,smooth_window,smooth_polyorder,grid_points,scope_summary,n_detail_rows,avg_cumulative_explained_variance_ratio,avg_abs_pc_pearson,avg_abs_pc_spearman,avg_pc_trend_r2,avg_rmse_uA,median_rmse_uA,max_rmse_uA,avg_mae_uA,avg_max_abs_residual_uA,avg_normalized_rmse,median_normalized_rmse,avg_r2,median_r2,min_r2,objective_score
AA,219,pcr,1,1,3,3,151,3,0,mean,4,0.989060188096,0.998344807678,1,1,0.0334715908447,0.0316901357822,0.0580580158859,0.018935831359,0.253423424245,0.00621092467674,0.00587079170794,0.997294743863,0.997430563642,0.994631676014,1.09100105957
AA,237,pcr,1,1,3,3,151,3,500,mean,4,0.988868679425,0.998347403784,1,1,0.0337438133034,0.0319662166218,0.058429598351,0.0190291547225,0.253383615188,0.00626136527715,0.0059223008529,0.997292578729,0.997423976761,0.994639064378,1.09094858364
AA,57,pcr,1,1,3,3,31,3,0,mean,4,0.988635222492,0.998360510232,1,1,0.0341538483683,0.0320605950718,0.0599915078485,0.0189669721094,0.260798060787,0.00616687286587,0.00571573621638,0.997186096266,0.997269367719,0.994521156736,1.09093724891
AA,165,pcr,1,1,3,3,101,3,0,mean,4,0.988771064359,0.998350980064,1,1,0.0339294651631,0.0319390227049,0.0593609849632,0.0189417943643,0.259177184773,0.00620026021361,0.0057873406429,0.997219516583,0.997323084292,0.994546784576,1.09093680537
AA,111,pcr,1,1,3,3,51,3,0,mean,4,0.98864712026,0.998359764602,1,1,0.0341338007762,0.0320539703415,0.0599237366861,0.0189614016965,0.263859997966,0.00617171278525,0.00572299123775,0.997188373151,0.997274938973,0.994519325789,1.0909346486
AA,30,pcr,1,1,3,3,31,2,0,mean,4,0.988638593482,0.998360296843,1,1,0.034145421207,0.0320597072325,0.0599682573362,0.0189641629485,0.262648620543,0.00618395288846,0.00573637614657,0.997188394288,0.997271962359,0.994524603206,1.09092245624
AA,3,pcr,1,1,3,3,0,0,0,mean,4,0.988634270519,0.998360547306,1,1,0.0341561713862,0.0320639177154,0.0599903607658,0.0189694778436,0.258741713261,0.00618850051627,0.00574394320805,0.997186273322,0.997269580883,0.994521603695,1.09091580017
AA,75,pcr,1,1,3,3,31,3,500,mean,4,0.988404450883,0.998361689731,1,1,0.0344625219401,0.0324047808908,0.0603913696068,0.019067449597,0.26078841443,0.00622245145858,0.00577750171787,0.997180837778,0.997261564627,0.99451704067,1.09087647081
AA,84,pcr,1,1,3,3,51,2,0,mean,4,0.9886477757,0.998360460738,1,1,0.0341320953561,0.0320432312092,0.0599532298033,0.0189700435499,0.260116816658,0.00623485671661,0.00579786657039,0.997193078336,0.997273967602,0.994538711286,1.09087624466
AA,183,pcr,1,1,3,3,101,3,500,mean,4,0.988548846514,0.998352634001,1,1,0.0342340387573,0.0322672374007,0.0597643624987,0.0190411364032,0.259143327191,0.00625580503567,0.00584722612261,0.997213669356,0.997314280612,0.994543165457,1.09087549602
AA,129,pcr,1,1,3,3,51,3,500,mean,4,0.988410902508,0.998360943603,1,1,0.034450814118,0.0324037865873,0.0603431114966,0.0190632044453,0.26385098724,0.00622890037023,0.00578588015138,0.997181456091,0.997265307847,0.994512362916,1.0908706029
AA,48,pcr,1,1,3,3,31,2,500,mean,4,0.988406258965,0.998361568129,1,1,0.0344579889744,0.032403379283,0.0603815121888,0.0190652660565,0.262639524013,0.00624041911404,0.00579827327122,0.997182085146,0.997262796441,0.994519224158,1.09085974444
AA,21,pcr,1,1,3,3,0,0,500,mean,4,0.988412821273,0.998361864327,1,1,0.0344539011429,0.0323942732568,0.06037840287,0.0190670353068,0.258729595509,0.0062423183519,0.00580351330033,0.997181540803,0.997262056296,0.994519051676,1.09085731567
AA,228,pcr,1,1,3,3,151,3,250,mean,4,0.988474850174,0.998352304469,1,1,0.0342957285588,0.0325253768338,0.059186284324,0.0192186699948,0.253304071869,0.00636362511839,0.00602659741775,0.997287776403,0.997410364309,0.994652732782,1.09084176651
AA,102,pcr,1,1,3,3,51,2,500,mean,4,0.988422277878,0.998362113495,1,1,0.0344376244074,0.0323763108994,0.0603552405165,0.0190702486362,0.260108503166,0.0062905549651,0.00585856237052,0.997186848364,0.99726538449,0.994532888132,1.09081439907
AA,138,pcr,1,1,3,3,101,2,0,mean,4,0.988895206668,0.998373608803,1,1,0.0337943950944,0.0316794993743,0.059327558133,0.0190087747926,0.246715220925,0.00638386847356,0.00598832673814,0.997256548629,0.997329181196,0.994682178918,1.0907913606
AA,66,pcr,1,1,3,3,31,3,250,mean,4,0.98792617811,0.998363550232,1,1,0.0350907113361,0.0331069936818,0.0612058451267,0.0192711086633,0.260766990989,0.00633560444687,0.00590357593936,0.997169776449,0.99724556991,0.994507215164,1.09075234951
AA,174,pcr,1,1,3,3,101,3,250,mean,4,0.988088844118,0.99835546137,1,1,0.0348541603734,0.0329356398597,0.0605892836811,0.0192438239534,0.259075812693,0.00636889524452,0.00596914728365,0.997201190401,0.997295911708,0.99453416864,1.09075006822
AA,156,pcr,1,1,3,3,101,2,500,mean,4,0.98871788528,0.998376794708,1,1,0.0340437275896,0.0319370967188,0.0596585936849,0.0190978307894,0.246672429213,0.00643095067347,0.00603738877283,0.997255683708,0.997325410027,0.994688776913,1.09074357277
AA,120,pcr,1,1,3,3,51,3,250,mean,4,0.987919506511,0.998362782582,1,1,0.0350984774106,0.0331188579616,0.0612046183125,0.0192697702415,0.263830580923,0.00634575149496,0.00591441695369,0.997166628121,0.99724501138,0.994496323465,1.09073901576
AA,12,pcr,1,1,3,3,0,0,250,mean,4,0.987953216843,0.998364919482,1,1,0.0350578481539,0.0330697852445,0.0611556150302,0.0192648410324,0.258718931512,0.00635165012159,0.00592566955233,0.99717146745,0.997247836544,0.994509827746,1.0907380633
AA,39,pcr,1,1,3,3,31,2,250,mean,4,0.987924210834,0.998363650094,1,1,0.0350953844267,0.0331044179072,0.0612276395952,0.0192704897183,0.262619415964,0.00635561186073,0.00592459113407,0.99716858834,0.997243609623,0.99450653217,1.09073115898
AA,93,pcr,1,1,3,3,51,2,250,mean,4,0.987955311894,0.998365023869,1,1,0.035059858836,0.0330545167883,0.0611780471111,0.0192729430389,0.260090094538,0.0064039953534,0.00598212844607,0.997173523528,0.997247388086,0.994519314881,1.09068777937
AA,192,pcr,1,1,3,3,151,2,0,mean,4,0.989247860724,0.998388917857,1,1,0.0331617358206,0.0312718045668,0.0578289452197,0.0190883209511,0.229461792255,0.00656611169283,0.00623470684392,0.997331595872,0.997452890534,0.994726716886,1.09068493007
